Departure Airport,Destination Airport,Departure Time,Return Time,Airlines,Price (EUR)
MXP,SSH,"14/01/26, 15:50","21/01/26, 21:45",W4,100
MXP,SSH,"21/01/26, 15:50","28/01/26, 21:45",W4,100
MXP,SSH,"19/01/26, 15:50","26/01/26, 21:45",W4,100
MXP,SSH,"24/11/25, 15:50","01/12/25, 21:45",W4,100
MXP,SSH,"24/11/25, 15:50","03/12/25, 21:45",W4,100
MXP,SSH,"21/01/26, 15:50","30/01/26, 21:45",W4,100
MXP,SSH,"26/11/25, 15:50","03/12/25, 21:45",W4,100
MXP,SSH,"14/01/26, 15:50","23/01/26, 21:45",W4,100
MXP,SSH,"16/01/26, 15:50","23/01/26, 21:45",W4,100
MXP,SSH,"12/01/26, 15:50","19/01/26, 21:45",W4,100
MXP,SSH,"12/01/26, 15:50","21/01/26, 21:45",W4,100
MXP,SSH,"19/01/26, 15:50","28/01/26, 21:45",W4,100
MXP,SSH,"23/01/26, 15:50","30/01/26, 21:45",W4,100
MXP,SSH,"10/12/25, 15:50","19/12/25, 13:40","W4,U2",103
MXP,SSH,"07/01/26, 08:00","16/01/26, 21:45","W4,U2",104
MXP,SSH,"20/01/26, 07:40","28/01/26, 21:45","U2,W4",104
MXP,SSH,"08/01/26, 07:00","16/01/26, 21:45","W4,U2",104
MXP,SSH,"20/01/26, 07:40","26/01/26, 21:45","U2,W4",104
MXP,SSH,"07/01/26, 08:00","14/01/26, 21:45","W4,U2",104
MXP,SSH,"13/01/26, 07:40","19/01/26, 21:45","U2,W4",104
MXP,SSH,"13/01/26, 07:40","21/01/26, 21:45","U2,W4",104
MXP,SSH,"08/01/26, 07:00","14/01/26, 21:45","U2,W4",104
MXP,SSH,"19/01/26, 08:30","26/01/26, 21:45","U2,W4",106
MXP,SSH,"19/01/26, 08:30","28/01/26, 21:45","W4,U2",106
MXP,SSH,"26/11/25, 15:50","05/12/25, 21:45",W4,106
MXP,SSH,"28/11/25, 15:50","05/12/25, 21:45",W4,106
MXP,SSH,"01/12/25, 15:50","10/12/25, 21:45",W4,106
MXP,SSH,"03/12/25, 15:50","10/12/25, 21:45",W4,106
MXP,SSH,"10/12/25, 15:50","17/12/25, 14:20","U2,W4",108
MXP,SSH,"23/01/26, 15:50","31/01/26, 13:15","W4,U2",108
MXP,SSH,"10/12/25, 15:50","18/12/25, 13:20","U2,W4",108
MXP,SSH,"10/12/25, 15:50","16/12/25, 13:55","W4,U2",108
MXP,SSH,"18/01/26, 07:15","26/01/26, 21:45","U2,W4",108
MXP,SSH,"09/01/26, 07:25","16/01/26, 21:45","U2,W4",108
MXP,SSH,"11/01/26, 07:15","19/01/26, 21:45","U2,W4",109
MXP,SSH,"12/01/26, 08:30","19/01/26, 21:45","U2,W4",109
MXP,SSH,"12/01/26, 08:30","21/01/26, 21:45","U2,W4",109
MXP,SSH,"10/12/25, 15:50","17/12/25, 20:35","U2,W4",109
MXP,SSH,"10/01/26, 07:00","19/01/26, 21:45","U2,W4",110
MXP,SSH,"23/01/26, 07:25","30/01/26, 21:45","U2,W4",110
MXP,SSH,"10/01/26, 07:00","16/01/26, 21:45","U2,W4",110
MXP,SSH,"23/01/26, 15:50","01/02/26, 13:35","W4,U2",112
MXP,SSH,"26/01/26, 15:50","01/02/26, 13:35","W4,U2",112
MXP,SSH,"07/12/25, 13:55","15/12/25, 21:45","U2,W4",112
MXP,SSH,"08/12/25, 15:50","15/12/25, 21:45",W4,112
MXP,SSH,"14/12/25, 07:15","22/12/25, 21:45","U2,W4",113
MXP,SSH,"06/01/26, 07:40","14/01/26, 21:45","U2,W4",113
MXP,SSH,"09/12/25, 07:40","15/12/25, 21:45","U2,W4",113
MXP,SSH,"05/01/26, 08:30","14/01/26, 21:45","U2,W4",113
MXP,SSH,"24/01/26, 07:00","30/01/26, 21:45","U2,W4",114
MXP,SSH,"14/12/25, 07:15","22/12/25, 14:45",U2,114
MXP,SSH,"08/12/25, 15:50","16/12/25, 13:55","U2,W4",114
MXP,SSH,"08/12/25, 15:50","17/12/25, 14:20","W4,U2",114
MXP,SSH,"16/01/26, 07:25","23/01/26, 21:45","U2,W4",114
MXP,SSH,"01/12/25, 08:30","10/12/25, 21:45","U2,W4",115
MXP,SSH,"08/12/25, 15:50","17/12/25, 20:35","W4,U2",115
MXP,SSH,"10/12/25, 08:00","19/12/25, 13:40",U2,116
MXP,SSH,"28/11/25, 07:25","05/12/25, 21:45","U2,W4",117
MXP,SSH,"07/12/25, 13:55","16/12/25, 13:55",U2,118
MXP,SSH,"14/12/25, 07:15","21/12/25, 20:10",U2,119
MXP,SSH,"09/12/25, 07:40","17/12/25, 14:20",U2,119
MXP,SSH,"09/12/25, 07:40","16/12/25, 13:55",U2,119
MXP,SSH,"09/12/25, 07:40","18/12/25, 13:20",U2,119
MXP,SSH,"14/12/25, 07:15","23/12/25, 13:55",U2,119
MXP,SSH,"14/01/26, 15:50","20/01/26, 13:55","W4,U2",119
MXP,SSH,"12/01/26, 15:50","20/01/26, 13:55","W4,U2",119
MXP,SSH,"08/12/25, 08:30","15/12/25, 21:45","U2,W4",119
MXP,SSH,"09/12/25, 07:40","17/12/25, 20:35",U2,120
MXP,SSH,"23/11/25, 13:55","01/12/25, 21:45","U2,W4",120
MXP,SSH,"10/12/25, 08:00","18/12/25, 13:20",U2,121
MXP,SSH,"17/01/26, 07:00","23/01/26, 21:45","U2,W4",121
MXP,SSH,"10/12/25, 08:00","17/12/25, 14:20",U2,121
MXP,SSH,"10/12/25, 08:00","16/12/25, 13:55",U2,121
MXP,SSH,"17/01/26, 07:00","26/01/26, 21:45","U2,W4",121
MXP,SSH,"10/12/25, 08:00","17/12/25, 20:35",U2,122
MXP,SSH,"10/12/25, 14:35","19/12/25, 13:40",U2,123
MXP,SSH,"23/01/26, 07:25","31/01/26, 13:15",U2,123
MXP,SSH,"03/12/25, 15:50","12/12/25, 13:40","W4,U2",123
MXP,SSH,"13/12/25, 14:10","22/12/25, 21:45","U2,W4",123
MXP,SSH,"13/12/25, 07:00","22/12/25, 21:45","U2,W4",123
MXP,SSH,"12/01/26, 15:50","19/01/26, 14:45","W4,U2",124
MXP,SSH,"13/12/25, 14:10","22/12/25, 14:45",U2,125
MXP,SSH,"13/12/25, 14:10","19/12/25, 13:40",U2,125
MXP,SSH,"12/12/25, 07:25","19/12/25, 13:40",U2,125
MXP,SSH,"26/01/26, 08:30","01/02/26, 13:35",U2,125
MXP,SSH,"25/01/26, 07:15","31/01/26, 13:15",U2,125
MXP,SSH,"16/01/26, 15:50","23/01/26, 13:40","U2,W4",125
MXP,SSH,"14/01/26, 15:50","23/01/26, 13:40","W4,U2",125
MXP,SSH,"13/12/25, 07:00","22/12/25, 14:45",U2,125
MXP,SSH,"13/12/25, 07:00","19/12/25, 13:40",U2,125
MXP,SSH,"08/12/25, 08:30","16/12/25, 13:55",U2,126
MXP,SSH,"14/12/25, 13:55","22/12/25, 21:45","W4,U2",126
MXP,SSH,"08/12/25, 15:50","15/12/25, 14:45","W4,U2",126
MXP,SSH,"08/12/25, 08:30","17/12/25, 14:20",U2,126
MXP,SSH,"14/12/25, 13:55","22/12/25, 14:45",U2,127
MXP,SSH,"08/12/25, 08:30","17/12/25, 20:35",U2,127
MXP,SSH,"23/01/26, 07:25","01/02/26, 13:35",U2,127
MXP,SSH,"11/12/25, 07:00","19/12/25, 13:40",U2,127
MXP,SSH,"24/01/26, 07:00","31/01/26, 13:15",U2,127
MXP,SSH,"14/12/25, 07:15","21/12/25, 13:35",U2,127
MXP,SSH,"13/01/26, 07:40","20/01/26, 13:55",U2,128
MXP,SSH,"21/01/26, 15:50","27/01/26, 13:55","W4,U2",128
MXP,SSH,"19/01/26, 15:50","27/01/26, 13:55","W4,U2",128
MXP,SSH,"19/01/26, 15:50","25/01/26, 13:35","W4,U2",128
MXP,SSH,"19/01/26, 15:50","26/01/26, 14:45","W4,U2",128
MXP,SSH,"10/12/25, 14:35","18/12/25, 13:20",U2,128
MXP,SSH,"25/01/26, 07:15","01/02/26, 13:35",U2,128
MXP,SSH,"10/12/25, 14:35","16/12/25, 13:55",U2,128
MXP,SSH,"10/12/25, 14:35","17/12/25, 14:20",U2,128
MXP,SSH,"16/01/26, 15:50","25/01/26, 13:35","W4,U2",128
MXP,SSH,"24/11/25, 08:30","03/12/25, 21:45","U2,W4",129
MXP,SSH,"24/11/25, 08:30","01/12/25, 21:45","U2,W4",129
MXP,SSH,"12/12/25, 07:25","18/12/25, 13:20",U2,129
MXP,SSH,"12/12/25, 07:25","21/12/25, 20:10",U2,129
MXP,SSH,"13/12/25, 07:00","21/12/25, 20:10",U2,129
MXP,SSH,"13/12/25, 14:10","21/12/25, 20:10",U2,129
MXP,SSH,"10/12/25, 14:35","17/12/25, 20:35",U2,129
MXP,SSH,"07/12/25, 13:55","15/12/25, 14:45",U2,130
MXP,SSH,"24/01/26, 07:00","01/02/26, 13:35",U2,130
MXP,SSH,"09/12/25, 07:40","15/12/25, 14:45",U2,131
MXP,SSH,"29/11/25, 07:00","05/12/25, 21:45","U2,W4",131
MXP,SSH,"11/12/25, 07:00","18/12/25, 13:20",U2,132
MXP,SSH,"11/12/25, 07:00","17/12/25, 14:20",U2,132
MXP,SSH,"14/12/25, 13:55","23/12/25, 13:55",U2,132
MXP,SSH,"14/12/25, 13:55","21/12/25, 20:10",U2,132
MXP,SSH,"11/12/25, 07:00","17/12/25, 20:35",U2,133
MXP,SSH,"13/01/26, 07:40","19/01/26, 14:45",U2,133
MXP,SSH,"11/01/26, 07:15","20/01/26, 13:55",U2,133
MXP,SSH,"12/01/26, 08:30","20/01/26, 13:55",U2,133
MXP,SSH,"23/11/25, 07:15","01/12/25, 21:45","U2,W4",133
MXP,SSH,"03/12/25, 08:00","10/12/25, 21:45","U2,W4",134
MXP,SSH,"14/12/25, 07:15","20/12/25, 20:20",U2,134
MXP,SSH,"04/12/25, 07:00","10/12/25, 21:45","W4,U2",135
MXP,SSH,"16/01/26, 15:50","24/01/26, 13:15","W4,U2",136
MXP,SSH,"13/12/25, 14:10","21/12/25, 13:35",U2,137
MXP,SSH,"12/12/25, 07:25","21/12/25, 13:35",U2,137
MXP,SSH,"20/01/26, 07:40","27/01/26, 13:55",U2,137
MXP,SSH,"20/01/26, 07:40","26/01/26, 14:45",U2,137
MXP,SSH,"13/12/25, 07:00","21/12/25, 13:35",U2,137
MXP,SSH,"07/12/25, 13:55","13/12/25, 20:20",U2,138
MXP,SSH,"02/06/25, 18:30","11/06/25, 13:40","NO,U2",204
